user_id,product_id,view_timestamp,purchase_timestamp
1493,2130,2023-12-15 22:54:36,
1634,2871,2023-11-05 02:02:47,
1375,2582,2023-12-18 13:43:28,
1099,2594,2023-12-05 22:24:09,2023-12-06 12:40:09
1192,2325,2023-09-23 05:58:36,2023-09-23 21:58:36
1467,2894,2024-01-07 16:17:41,2024-01-07 18:45:41
1384,2216,2023-12-19 03:08:44,
1015,2217,2024-01-04 17:46:30,
1547,2183,2024-01-16 08:27:34,2024-01-16 23:01:34
1612,2519,2024-01-30 04:24:34,2024-01-30 09:33:34
1985,2144,2023-11-16 00:59:02,
1232,2691,2024-02-21 13:10:31,2024-02-21 23:09:31
1554,2273,2023-10-10 15:20:17,
1973,2007,2024-03-03 17:46:30,
1546,2548,2023-12-15 02:22:36,2023-12-15 17:40:36
1215,2134,2023-12-10 16:12:17,
1921,2439,2024-03-13 15:47:35,
1152,2331,2023-10-15 02:02:34,
1115,2894,2023-09-26 16:26:55,
1899,2075,2024-08-07 13:49:16,
1078,2947,2024-01-28 02:35:49,
1021,2566,2024-06-15 17:41:34,
1222,2827,2024-05-12 01:15:10,
1788,2112,2024-07-06 08:53:35,
1059,2327,2023-12-18 21:40:59,2023-12-19 08:53:59
1191,2200,2024-01-31 02:55:59,
1708,2035,2024-03-28 10:02:50,
1758,2237,2024-07-06 18:35:08,2024-07-06 23:22:08
1001,2731,2024-03-16 23:22:56,2024-03-17 15:33:56
1172,2087,2024-08-10 10:55:10,2024-08-11 01:02:10
1298,2885,2024-07-14 19:55:44,
1575,2484,2024-03-07 18:25:54,
1699,2383,2024-07-01 06:35:04,
1432,2389,2024-06-06 12:40:06,
1003,2372,2023-12-07 21:29:10,
1611,2116,2024-07-12 01:30:48,
1368,2253,2024-07-08 18:20:24,
1095,2785,2023-12-13 07:22:31,
1628,2663,2024-01-28 03:56:42,
1502,2718,2023-10-29 01:22:17,
1079,2582,2023-09-24 21:14:42,
1562,2804,2023-08-26 17:33:42,2023-08-27 00:04:42
1702,2559,2024-07-13 04:13:46,
1866,2984,2023-10-26 09:40:21,
1701,2928,2023-09-21 18:40:35,
1884,2753,2023-12-18 14:09:35,2023-12-18 23:19:35
1446,2079,2023-10-09 23:22:24,
1889,2349,2024-08-02 17:08:02,
1502,2967,2023-12-17 09:36:18,
1927,2704,2024-05-03 09:46:00,
1550,2014,2023-09-06 23:38:28,
1310,2386,2023-10-28 06:21:11,2023-10-28 22:39:11
1601,2568,2024-06-28 11:09:54,
1340,2597,2024-03-23 10:35:18,
1022,2291,2023-09-16 12:20:46,
1306,2634,2024-07-25 12:54:58,
1939,2273,2024-02-16 17:04:05,2024-02-17 01:31:05
1130,2132,2023-10-08 02:12:50,
1482,2862,2024-07-18 05:04:44,
1999,2985,2024-02-29 00:21:38,
1660,2448,2023-08-27 22:02:54,
1617,2165,2024-08-19 07:26:36,2024-08-19 19:19:36
1426,2697,2024-03-04 06:16:04,2024-03-04 16:32:04
1342,2832,2023-10-05 14:12:46,2023-10-06 01:30:46
1439,2157,2024-03-07 04:09:02,2024-03-07 18:51:02
1609,2530,2024-08-07 15:19:33,
1895,2097,2023-09-03 10:49:32,
1132,2260,2023-11-11 15:09:19,2023-11-12 13:00:19
1683,2059,2024-07-31 06:09:52,
1284,2106,2023-10-21 09:16:03,2023-10-21 13:08:03
1700,2582,2024-05-17 10:45:09,2024-05-18 00:11:09
1599,2882,2024-02-16 09:30:04,2024-02-17 03:34:04
1625,2013,2024-05-17 09:38:49,2024-05-17 21:16:49
1973,2113,2023-12-12 02:24:33,
1295,2189,2024-06-02 09:53:29,
1079,2658,2024-08-03 06:25:07,
1499,2798,2023-11-18 10:28:38,
1826,2708,2024-07-29 03:08:05,
1248,2146,2024-02-03 23:47:23,
1296,2582,2024-02-15 02:36:17,2024-02-15 05:53:17
1068,2494,2023-09-23 08:04:01,
1882,2363,2023-08-29 10:44:20,2023-08-29 18:42:20
1846,2521,2023-09-22 22:06:12,2023-09-23 20:12:12
1435,2696,2023-12-31 21:05:24,
1128,2532,2024-08-19 01:31:25,
1934,2840,2024-06-10 09:47:00,
1241,2369,2024-05-12 19:22:04,2024-05-12 20:49:04
1982,2831,2024-08-14 19:39:08,2024-08-15 05:54:08
1574,2286,2024-07-02 07:25:15,
1459,2212,2023-09-25 00:14:36,
1499,2425,2023-12-01 08:45:46,
1961,2543,2024-01-08 05:01:26,
1402,2759,2024-01-16 01:34:25,
1294,2398,2023-11-22 16:45:27,
1207,2110,2024-08-06 11:05:05,
1963,2568,2024-08-21 18:41:53,2024-08-22 04:14:53
1940,2482,2024-04-23 23:01:49,
1893,2897,2023-11-27 06:48:00,
1477,2710,2024-07-10 01:21:03,2024-07-10 04:24:03
1897,2219,2023-12-16 05:15:59,
1528,2492,2024-05-28 17:04:00,
1054,2680,2023-10-29 10:54:52,2023-10-30 03:26:52
1065,2612,2023-09-17 19:41:54,
1171,2273,2023-08-31 06:07:53,
1535,2391,2024-02-21 04:47:28,2024-02-22 03:22:28
1108,2847,2024-06-01 16:19:53,
1452,2206,2024-04-18 05:40:53,
1327,2608,2024-01-16 23:36:19,
1010,2434,2023-12-30 18:15:52,
1485,2652,2023-11-13 16:03:55,
1800,2873,2024-03-14 03:34:24,
1438,2751,2024-08-11 04:59:15,
1198,2211,2024-01-05 01:27:40,
1045,2097,2024-03-09 18:14:07,2024-03-10 18:12:07
1461,2391,2024-04-11 19:14:15,2024-04-11 19:45:15
1794,2097,2024-06-18 01:38:16,2024-06-18 12:03:16
1567,2704,2024-01-01 01:48:23,2024-01-01 20:05:23
1829,2130,2024-07-05 00:10:51,
1609,2848,2024-03-16 04:06:18,
1631,2720,2023-09-28 05:31:10,
1154,2547,2023-10-13 00:02:16,
1855,2413,2023-09-28 04:16:15,2023-09-28 07:09:15
1681,2663,2024-06-04 15:57:22,
1314,2032,2023-10-30 13:58:04,
1043,2903,2024-06-11 10:54:57,
1573,2270,2024-05-23 00:32:47,
1518,2103,2024-03-14 02:10:37,
1090,2226,2024-02-20 00:03:02,
1917,2126,2024-05-10 08:34:42,2024-05-11 03:19:42
1074,2627,2024-03-03 23:23:25,2024-03-04 00:23:25
1720,2553,2023-10-09 18:32:04,
1574,2667,2023-12-29 11:22:44,
1832,2494,2024-02-08 21:03:28,
1442,2130,2024-05-29 23:38:57,
1114,2199,2024-06-19 04:47:13,
1601,2215,2024-04-24 13:32:28,
1512,2447,2024-04-02 10:38:56,
1715,2074,2024-08-21 11:36:58,
1176,2427,2024-05-17 20:29:44,2024-05-17 21:14:44
1429,2344,2024-04-11 22:06:33,2024-04-12 17:14:33
1609,2657,2023-11-07 23:47:33,2023-11-08 13:36:33
1130,2352,2023-11-18 07:52:43,
1318,2984,2023-12-03 00:10:01,
1337,2273,2023-10-07 08:05:30,2023-10-07 14:17:30
1094,2168,2023-11-08 23:35:02,
1341,2661,2024-06-01 13:56:42,
1925,2152,2023-09-29 07:41:07,2023-09-29 22:58:07
1274,2554,2023-09-10 09:28:30,2023-09-10 11:13:30
1557,2082,2024-01-25 23:24:14,2024-01-26 16:46:14
1433,2157,2024-03-23 19:21:41,
1338,2404,2024-05-28 05:54:51,
1559,2107,2024-05-27 18:17:19,2024-05-28 14:50:19
1079,2155,2023-09-14 02:00:40,
1997,2247,2024-01-11 01:13:32,
1948,2538,2024-06-06 19:42:26,
1154,2686,2024-03-20 06:19:30,
1338,2480,2024-06-08 03:07:54,
1450,2993,2024-01-01 22:51:52,
1273,2929,2024-07-16 23:29:25,
1696,2831,2024-04-08 02:03:26,
1049,2567,2024-06-26 02:11:43,
1712,2308,2023-09-05 20:15:05,
1630,2775,2024-07-03 20:59:09,
1868,2912,2024-04-02 19:58:39,2024-04-03 09:44:39
1830,2129,2024-07-08 16:13:13,2024-07-09 13:47:13
1118,2464,2023-10-06 11:41:28,
1200,2157,2024-05-07 10:12:44,
1134,2912,2024-06-11 00:26:41,
1071,2233,2023-12-27 13:57:52,2023-12-28 01:07:52
1090,2334,2023-09-25 16:13:07,2023-09-26 01:15:07
1121,2301,2024-06-17 01:59:36,
1963,2436,2024-07-26 12:48:55,
1922,2459,2024-01-12 06:49:47,
1620,2286,2024-01-23 17:18:02,2024-01-24 05:32:02
1556,2929,2024-06-10 03:00:58,
1728,2894,2024-01-07 12:58:07,
1282,2661,2024-07-05 13:26:51,2024-07-06 06:06:51
1936,2578,2024-07-12 07:23:51,2024-07-12 08:54:51
1079,2205,2024-02-20 08:07:11,
1254,2304,2024-08-16 02:56:27,
1596,2276,2023-10-22 03:55:52,
1899,2183,2024-02-19 04:41:10,
1322,2512,2023-08-26 18:16:23,
1784,2339,2024-04-01 21:40:35,
1509,2238,2024-04-08 18:02:24,2024-04-09 14:22:24
1356,2278,2024-02-11 20:48:59,2024-02-11 23:52:59
1123,2246,2023-10-23 18:30:07,
1051,3000,2024-03-21 17:46:12,
1560,2019,2024-06-02 20:28:43,
1155,2565,2023-10-26 17:35:16,2023-10-27 07:15:16
1647,2443,2024-06-20 06:42:20,
1143,2192,2023-12-01 05:09:26,
1581,2535,2023-10-16 23:18:23,
1009,2271,2024-01-02 12:25:47,2024-01-02 21:18:47
1154,2405,2023-11-15 05:59:33,
1889,2267,2024-03-24 00:24:33,
1618,2472,2023-11-25 05:32:27,
1631,2526,2024-01-27 13:37:05,2024-01-28 02:39:05
1652,2806,2023-10-20 15:26:32,
1238,2546,2023-09-22 08:46:50,2023-09-22 19:24:50
1913,2657,2024-05-05 03:51:36,
1735,2883,2024-02-08 13:29:27,
1871,2516,2023-10-23 03:22:26,2023-10-23 17:52:26
1106,2085,2023-11-30 12:08:35,
1132,2850,2023-11-09 12:36:18,
1642,2012,2024-03-31 22:06:43,
1866,2774,2024-08-14 20:03:09,2024-08-15 01:14:09
1267,2447,2024-03-29 05:50:25,2024-03-29 16:46:25
1841,2002,2024-02-06 00:14:13,
1651,2636,2023-12-14 06:37:07,
1522,2469,2024-01-28 04:49:36,
1008,2804,2024-04-28 00:36:50,2024-04-28 08:20:50
1253,2526,2023-10-21 08:34:37,
1754,2981,2023-10-11 18:20:41,
1236,2306,2024-07-03 18:24:41,2024-07-04 11:52:41
1216,2855,2023-10-30 21:10:02,
1129,2410,2024-08-08 10:17:41,
1246,2701,2023-12-26 15:20:04,
1556,2842,2024-04-23 01:34:27,
1378,2390,2023-10-06 06:28:58,
1242,2294,2023-09-27 10:34:06,
1266,2120,2024-08-12 16:00:25,
1248,2070,2024-03-17 17:44:03,
1382,2039,2023-12-10 20:35:32,
1443,2018,2024-01-04 17:00:02,2024-01-05 06:49:02
1756,2352,2024-05-03 03:52:16,
1298,2283,2023-09-11 04:17:11,2023-09-11 21:18:11
1180,2938,2023-09-06 10:36:53,2023-09-06 11:05:53
1843,2791,2024-06-27 14:03:23,2024-06-27 17:07:23
1232,2894,2023-09-21 05:32:30,
1799,2576,2023-09-14 14:35:02,
1289,2213,2024-06-07 15:55:11,2024-06-08 03:26:11
1929,2229,2023-08-28 19:59:39,2023-08-29 03:18:39
1882,2758,2023-11-21 08:38:49,
1766,2088,2024-08-12 01:35:15,
1542,2684,2024-03-19 01:26:11,2024-03-19 07:13:11
1436,2177,2024-03-26 02:56:13,
1186,2218,2024-02-25 11:30:51,
1943,2525,2024-05-05 16:53:11,
1836,2042,2023-10-16 13:39:44,
1741,2862,2023-12-20 18:14:41,
1279,2251,2024-04-16 16:20:36,2024-04-17 06:17:36
1140,2792,2024-05-23 15:04:11,
1904,2530,2024-01-04 01:38:15,
1005,2410,2024-08-10 16:37:29,
1013,2339,2024-01-21 05:29:46,
1090,2616,2024-01-04 07:15:44,
1250,2255,2024-07-16 10:18:03,2024-07-17 02:33:03
1108,2668,2024-01-24 06:13:38,
1485,2982,2023-09-17 10:01:53,
1639,2997,2024-07-17 13:39:35,
1986,2088,2024-05-09 18:34:20,
1151,2936,2023-10-29 01:44:39,
1329,2544,2024-03-11 11:31:11,2024-03-12 11:16:11
1517,2459,2024-03-03 13:06:44,
1845,2169,2024-03-15 13:30:09,2024-03-16 09:36:09
1655,2362,2024-01-15 15:31:56,
1775,2040,2023-12-24 07:35:09,
1355,2255,2024-06-20 17:06:03,
1740,2853,2024-06-28 15:38:24,
1900,2011,2024-06-19 20:53:44,
1957,2421,2024-03-14 22:13:48,
1853,2496,2024-01-03 15:54:40,2024-01-04 08:47:40
1219,2487,2023-11-09 18:47:25,2023-11-10 05:54:25
1635,2144,2023-10-31 21:10:36,
1255,2068,2024-07-28 14:51:37,
1671,2821,2024-05-10 18:01:42,
1300,2908,2024-08-05 05:54:45,
1256,2353,2024-02-19 09:41:45,2024-02-19 18:29:45
1837,2950,2023-09-20 15:15:00,
1284,2312,2024-07-21 23:53:57,2024-07-22 07:59:57
1878,2226,2024-05-08 13:40:22,
1618,2365,2024-06-23 23:30:27,
1590,2075,2024-06-04 21:04:58,
1836,2181,2024-01-13 06:03:50,
1568,2105,2024-04-30 23:04:48,
1768,2307,2023-09-07 03:44:17,2023-09-07 10:05:17
1655,2678,2024-05-30 15:51:49,
1221,2595,2023-10-26 05:07:09,2023-10-26 13:53:09
1396,2004,2024-05-29 17:26:47,
1848,3000,2023-11-09 01:45:09,
1215,2972,2024-05-10 04:25:41,2024-05-10 06:10:41
1963,2521,2024-01-10 19:52:09,
1658,2939,2024-08-02 13:56:00,
1063,2633,2023-10-30 19:17:35,
1105,2974,2023-11-20 03:41:27,
1425,2255,2024-08-13 19:52:04,
1207,2028,2024-06-21 13:09:48,2024-06-21 23:01:48
1628,2069,2024-05-24 23:12:52,2024-05-25 19:07:52
1864,2730,2023-11-02 21:03:44,2023-11-03 01:18:44
1859,2856,2024-01-10 13:32:13,
1170,2758,2024-04-03 01:47:05,2024-04-03 11:12:05
1446,2294,2024-07-10 17:28:06,
1132,2433,2023-10-21 09:02:19,2023-10-21 23:02:19
1199,2215,2024-03-22 21:40:15,2024-03-23 05:36:15
1744,2247,2024-04-26 13:11:45,
1239,2927,2023-10-11 13:05:03,
1560,2051,2023-11-28 17:33:07,
1951,2728,2024-07-31 03:29:14,
1474,2080,2024-05-22 21:15:43,
1461,2911,2024-02-07 00:36:08,
1464,2960,2023-11-26 02:19:22,2023-11-26 17:49:22
1420,2707,2024-04-30 02:18:32,
1854,2114,2024-01-21 15:22:38,
1503,2636,2024-03-04 03:23:16,2024-03-05 01:42:16
1469,2824,2024-03-22 02:42:01,
1044,2415,2024-03-17 04:22:05,2024-03-18 01:36:05
1949,2084,2024-03-08 20:07:18,2024-03-09 07:19:18
1528,2165,2024-04-12 09:20:45,
1145,2037,2024-01-29 00:24:09,
1414,2045,2024-05-09 19:28:15,2024-05-09 20:34:15
1420,2868,2024-08-13 16:41:27,
1019,2365,2024-07-03 02:49:57,2024-07-03 10:01:57
1117,2580,2024-01-12 09:52:28,
1706,2325,2023-12-31 16:44:42,2024-01-01 09:20:42
1042,2297,2024-05-02 16:58:43,2024-05-03 00:35:43
1890,2394,2023-12-23 20:00:25,2023-12-24 15:16:25
1691,2405,2023-09-15 07:48:41,2023-09-15 17:56:41
1881,2743,2023-10-01 02:19:48,
1030,2725,2023-12-11 19:29:54,2023-12-12 15:02:54
1069,2058,2024-04-22 18:42:22,2024-04-23 02:45:22
1820,2445,2023-09-19 00:27:11,
1171,2575,2023-12-29 13:06:30,2023-12-30 11:20:30
1673,2653,2023-10-08 09:24:57,
