user_id,product_id,rating,timestamp
1310,2017,2,2023-08-29 13:19:21
1280,2913,4,2023-11-12 10:19:19
1726,2710,3,2024-07-22 07:27:14
1524,2622,5,2024-03-15 01:24:26
1901,2640,4,2024-06-28 11:59:33
1566,2823,2,2024-04-05 05:53:36
1079,2346,1,2024-06-14 16:43:22
1249,2639,1,2023-12-21 20:24:30
1131,2634,4,2023-12-14 23:50:14
1944,2839,5,2024-04-10 01:21:27
1050,2464,2,2024-08-06 09:33:43
1906,2455,1,2024-02-22 10:43:09
1283,2335,4,2024-02-06 04:22:48
1649,2327,3,2024-06-01 17:26:25
1336,2666,3,2024-05-21 00:15:14
1081,2087,2,2023-09-11 04:03:02
1991,2185,4,2023-09-16 16:40:08
1698,2123,1,2024-05-05 03:58:12
1096,2605,3,2023-11-09 18:53:47
1904,2443,2,2024-03-13 15:06:56
1991,2958,3,2023-10-29 21:17:13
1305,2357,4,2024-04-30 23:38:05
1285,2657,2,2024-01-23 21:07:39
1873,2918,3,2023-09-13 13:43:37
1738,2031,4,2024-06-18 20:21:34
1012,2191,1,2024-05-12 02:34:47
1918,2091,4,2024-07-04 20:23:21
1501,2786,5,2024-08-17 17:08:27
1111,2080,4,2024-05-01 20:35:11
1652,2433,1,2023-10-05 11:08:32
1214,2447,2,2024-03-31 19:06:11
1054,2880,1,2024-04-08 18:16:22
1795,2746,3,2024-01-28 19:12:49
1240,2846,1,2023-09-21 03:03:43
1418,2856,4,2024-07-25 20:28:01
1566,2599,5,2024-08-02 04:08:17
1748,2123,4,2024-04-14 22:14:51
1566,2216,4,2023-11-20 13:08:58
1709,2551,5,2024-02-27 02:07:32
1228,2237,4,2023-12-17 05:55:11
1330,2833,5,2023-10-12 05:44:27
1680,2487,5,2023-09-29 02:48:15
1579,2623,3,2023-11-26 22:31:40
1721,2381,5,2024-03-30 14:08:09
1815,2411,3,2024-01-05 13:19:02
1916,2525,4,2023-11-24 09:49:24
1408,2637,1,2023-10-28 16:23:36
1763,2899,3,2024-01-30 09:53:13
1650,2961,1,2023-12-17 11:37:58
1892,2186,5,2023-10-22 03:45:34
1078,2481,2,2023-11-23 02:34:02
1194,2103,1,2023-12-11 04:09:43
1376,2287,4,2024-06-08 06:25:02
1482,2723,2,2023-09-21 07:05:42
1805,2201,5,2023-12-27 01:10:52
1300,2478,3,2023-09-08 11:25:14
1809,2458,3,2023-10-03 13:24:57
1298,2364,1,2024-04-27 05:16:10
1340,2516,4,2024-07-06 10:03:02
1316,2114,5,2023-09-26 08:09:18
1618,2224,3,2023-09-27 19:42:23
1526,2710,4,2024-07-06 16:56:49
1062,2283,2,2024-04-02 12:24:29
1524,2136,2,2024-05-22 13:47:32
1144,2436,2,2024-07-02 12:47:30
1136,2489,5,2024-04-10 18:20:42
1733,2852,1,2023-09-29 17:54:30
1915,2401,4,2024-03-14 01:54:33
1449,2635,4,2024-07-11 00:01:57
1669,2270,1,2023-09-23 12:52:21
1269,2861,2,2024-07-28 07:43:59
1219,2319,1,2024-08-18 03:26:25
1285,2037,3,2023-10-29 04:09:26
1430,2792,5,2023-12-28 02:25:56
1645,2125,5,2023-09-25 23:21:12
1600,2610,2,2023-12-04 05:44:39
1607,2926,4,2024-08-16 15:03:17
1888,2256,1,2024-03-02 14:14:24
1987,2924,2,2023-12-16 05:17:15
1794,2530,4,2023-09-19 00:36:14
1392,2658,4,2024-04-24 18:33:46
1826,2253,5,2024-07-28 13:13:55
1561,2176,2,2024-03-02 02:57:41
1839,2577,4,2023-09-07 05:14:26
1289,2050,4,2023-08-28 16:00:27
1631,2852,5,2024-03-20 13:52:40
1500,2676,1,2024-01-21 15:20:05
1223,2870,4,2023-10-13 10:55:57
1899,2262,5,2024-04-01 22:44:03
1535,2903,5,2023-11-22 23:35:24
1356,2833,5,2023-12-20 23:43:30
1557,2691,4,2024-01-31 01:58:03
1984,2870,5,2023-12-21 17:06:08
1575,2029,5,2023-12-02 07:37:12
1365,2608,1,2023-09-11 07:13:42
1266,2291,1,2024-08-21 19:47:17
1219,2173,3,2024-02-23 13:43:09
1012,2516,2,2023-10-19 03:16:02
1858,2579,1,2023-09-20 23:57:40
1969,2477,1,2023-10-13 10:49:35
1082,2617,5,2024-04-26 23:13:12
1340,2441,1,2024-03-08 03:10:40
1226,2371,4,2024-02-02 21:55:08
1995,2016,5,2023-11-23 04:46:40
1333,2483,2,2024-06-13 09:35:09
1566,2288,2,2024-02-13 21:39:35
1038,2454,2,2024-04-29 23:58:10
1742,2166,4,2024-05-24 09:58:19
1205,2878,5,2024-02-28 13:19:11
1871,2333,4,2024-07-03 06:42:48
1821,2507,1,2023-10-04 18:15:20
1924,2121,3,2024-04-27 18:52:17
1722,2410,2,2023-11-18 03:26:51
1068,2114,4,2024-07-27 12:16:15
